City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
295,Alyangula,AU,-13.8483,136.4192,68.76,70,84,13.04,broken clouds
296,Nelson Bay,AU,-32.7167,152.15,46.0,96,52,5.99,broken clouds
297,Moose Jaw,CA,50.4001,-105.5344,93.47,33,75,14.97,broken clouds
298,Husavik,IS,66.0449,-17.3389,55.15,68,19,12.17,few clouds
299,Hualmay,PE,-11.0964,-77.6139,63.95,74,30,14.63,scattered clouds
300,Mandiana,GN,10.6333,-8.6833,76.46,79,13,5.93,few clouds
301,Tual,ID,-5.6667,132.75,79.23,77,68,23.24,broken clouds
302,Iqaluit,CA,63.7506,-68.5145,69.53,43,75,26.46,broken clouds
303,Dunedin,NZ,-45.8742,170.5036,42.8,61,9,14.0,clear sky
304,Tiksi,RU,71.6872,128.8694,39.63,88,94,6.67,overcast clouds
305,Kondinskoye,RU,59.6481,67.41,65.37,84,30,5.48,scattered clouds
306,Kulhudhuffushi,MV,6.6221,73.07,81.16,81,86,10.27,overcast clouds
307,Sawtell,AU,-30.3833,153.1,48.22,81,70,9.22,broken clouds
308,Grindavik,IS,63.8424,-22.4338,52.27,93,100,23.02,overcast clouds
309,Acapulco,MX,16.8634,-99.8901,89.42,58,75,9.22,broken clouds
310,Makokou,GA,0.5738,12.8642,70.41,85,30,3.02,scattered clouds
311,Maturin,VE,9.75,-63.1767,76.68,88,100,4.63,overcast clouds
312,Aklavik,CA,68.2191,-135.0107,55.4,62,40,5.75,scattered clouds
313,Puerto Colombia,CO,10.9878,-74.9547,87.89,74,19,17.27,few clouds
314,San Cristobal,VE,7.7669,-72.225,78.98,62,35,4.61,scattered clouds
315,Upernavik,GL,72.7868,-56.1549,49.44,59,0,6.06,clear sky
316,Kamyshlov,RU,56.8428,62.7111,65.14,95,98,2.46,light rain
317,Tessalit,ML,20.1986,1.0114,97.54,20,96,4.65,overcast clouds
318,Baruun-Urt,MN,46.6806,113.2792,59.58,94,100,10.31,overcast clouds
319,Pinkafeld,AT,47.3667,16.1167,59.99,83,77,2.33,broken clouds
320,Constantine,DZ,36.365,6.6147,80.01,38,0,6.91,clear sky
321,Bathurst,AU,-33.4166,149.5806,33.82,66,100,1.52,overcast clouds
322,Hallein,AT,47.6833,13.1,69.35,85,20,4.61,few clouds
323,Egvekinot,RU,66.3167,-179.1667,44.29,60,88,4.54,overcast clouds
324,Ust-Maya,RU,60.4167,134.5333,68.95,89,100,2.21,overcast clouds
325,Asheville,US,35.6009,-82.554,86.38,64,75,4.61,broken clouds
326,Saskylakh,RU,71.9167,114.0833,50.59,60,32,1.7,scattered clouds
327,Barcelos,PT,41.5388,-8.6151,70.68,84,27,2.42,scattered clouds
328,Raga,SS,8.4596,25.678,69.93,85,100,2.39,overcast clouds
329,Tikaitnagar,IN,26.95,81.5833,91.62,51,78,11.79,broken clouds
330,Sorong,ID,-0.8833,131.25,76.69,92,46,9.75,scattered clouds
